id,name,ename,short,count
0,tea叶,tea叶,tea叶,0
0,tea,tea,tea,0
0,茶,茶,茶,0
1,绿茶,绿茶,绿茶,0
101,名优绿茶,名优绿茶,名绿,0
10101,巴山雀舌,巴山雀舌,巴雀,1
10102,邓村绿茶,邓村绿茶,邓绿,0
10103,峨眉山茶,峨眉山茶,峨眉,0
10104,贵州针,贵州针,贵州,0
10105,汉中仙毫,汉中仙毫,汉仙,0
10106,黄山毛峰,黄山毛峰,黄毛,0
10107,金坛雀舌,金坛雀舌,金雀,0
10108,卷曲形茶,卷曲形茶,卷曲,0
10109,六安瓜片,六安瓜片,六瓜,0
10110,马边绿茶,马边绿茶,马绿,1
10111,茅山青锋,茅山青锋,茅青,0
10112,湄潭翠芽,湄潭翠芽,湄翠,0
10113,湄潭毛峰,湄潭毛峰,湄毛,0
10114,蒙顶甘露,蒙顶甘露,蒙甘,1
10115,蒙顶山茶,蒙顶山茶,蒙山,0
10116,蒲江雀舌,蒲江雀舌,蒲雀,1
10117,钱塘龙井,钱塘龙井,钱龙,0
10118,四川扁形茶,四川扁形茶,扁形,0
10119,松阳扁茶,松阳扁茶,松扁,0
10120,松阳香茶,松阳香茶,松香,0
10121,条形茶,条形茶,条形,0
10122,五峰绿茶,五峰绿茶,五绿,1
10123,信阳毛尖,信阳毛尖,信毛,0
10124,宜宾早茶,宜宾早茶,宜早,1
10125,永川秀芽,永川秀芽,永秀,0
10126,越州龙井,越州龙井,越龙,0
102,大宗绿茶,大宗绿茶,大绿,0
10201,炒青绿茶,炒青绿茶,炒青,0
10202,烘青绿茶,烘青绿茶,烘青,0
10203,蒸青绿茶,蒸青绿茶,蒸青,1
2,红茶,红茶,红茶,0
201,工夫红茶,工夫红茶,工红,0
20101,川红工夫　,川红工夫,川红,0
20102,滇红工夫,滇红工夫,滇红,1
20103,宜红工夫,宜红工夫,宜红,1
20104,昭平红,昭平红,昭红,0
20105,遵义红,遵义红,遵红,0
202,小种红茶,小种红茶,小红,0
20201,松阳红茶,松阳红茶,松红,0
203,红碎茶,红碎茶,红碎,1
20301,南川红碎茶,南川红碎茶,南红,1
3,乌龙茶,乌龙茶,乌龙,0
301,闽南乌龙,闽南乌龙,闽乌,0
30101,安溪铁观音,安溪铁观音,安铁,0
30102,黄金桂,黄金桂,黄桂,0
4,黑茶,黑茶,黑茶,0
401,安化黑茶,安化黑茶,安黑,0
40101,茯砖,茯砖,茯砖,0
40102,黑砖,黑砖,黑砖,0
40103,千两,千两,千两,0
40104,三尖,三尖,三尖,0
402,四川黑茶,四川黑茶,四黑,0
40201,康砖,康砖,康砖,0
5,白茶,白茶,白茶,0
501,白毫银针,白毫银针,白银,0
50101,白毫银针,白毫银针,白银,0
502,新工艺白茶,新工艺白茶,新白,1
50201,新工艺白茶,新工艺白茶,新白,1
6,黄茶,黄茶,黄茶,0
601,黄芽茶,黄芽茶,黄芽,0
60101,蒙顶黄芽,蒙顶黄芽,蒙黄,0
7,花茶,花茶,花茶,0
701,茉莉花茶,茉莉花茶,茉莉,0
70101,四川茉莉花茶,四川茉莉花茶,四茉,0
